state,yr,mnth,daily_confirmed,total_confirmed,daily_recovered,total_recovered,daily_tested,total_tested,daily_deceased,total_deceased,daily_vaccinated1,total_vaccinated1,daily_vaccinated2,total_vaccinated2
AN,2020,March,10,10,0,0,0,0,0,0,0,0,0,0
AN,2020,April,23,33,16,16,2848,2848,0,0,0,0,0,0
AN,2020,May,0,33,17,33,4858,7706,0,0,0,0,0,0
AN,2020,June,64,97,12,45,8003,15709,0,0,0,0,0,0
AN,2020,July,451,548,169,214,8329,24038,5,5,0,0,0,0
AN,2020,August,2584,3132,2433,2647,9447,33485,41,46,0,0,0,0
AN,2020,September,703,3835,961,3608,25278,58763,7,53,0,0,0,0
AN,2020,October,497,4332,492,4100,29690,88453,6,59,0,0,0,0
AN,2020,November,378,4710,450,4550,40936,129389,2,61,0,0,0,0
AN,2020,December,235,4945,276,4826,52251,181640,1,62,0,0,0,0
AN,2021,January,49,4994,102,4928,41497,223137,0,62,2727,2727,0,0
AN,2021,February,26,5020,24,4952,45362,268499,0,62,3407,6134,2422,2422
AN,2021,March,63,5083,24,4976,51365,319864,0,62,10346,16480,3186,5608
AN,2021,April,866,5949,725,5701,51032,370896,5,67,77013,93493,5273,10881
AN,2021,May,1056,7005,1018,6719,15717,386613,48,115,15591,109084,4300,15181
AN,2021,June,462,7467,589,7308,23277,409890,13,128,47386,156470,4642,19823
AN,2021,July,70,7537,92,7400,30980,440870,1,129,53226,209696,71739,91562
AN,2021,August,29,7566,31,7431,49782,490652,0,129,47799,257495,14240,105802
AN,2021,September,55,7621,52,7483,61501,552153,0,129,32233,289728,47412,153214
AN,2021,October,30,7651,35,7518,45880,598033,0,129,4273,294001,46943,200157
AP,2020,March,44,44,1,1,0,0,0,0,0,0,0,0
AP,2020,April,1359,1403,320,321,94558,94558,31,31,0,0,0,0
AP,2020,May,2168,3571,2019,2340,278190,372748,31,62,0,0,0,0
AP,2020,June,11024,14595,4171,6511,517442,890190,125,187,0,0,0,0
AP,2020,July,126338,140933,57353,63864,1061586,1951776,1162,1349,0,0,0,0
AP,2020,August,293838,434771,266662,330526,1771136,3722912,2620,3969,0,0,0,0
AP,2020,September,258713,693484,298685,629211,2083646,5806558,1859,5828,0,0,0,0
AP,2020,October,129864,823348,162872,792083,2222347,8028905,862,6690,0,0,0,0
AP,2020,November,44716,868064,61149,853232,2028949,10057854,302,6992,0,0,0,0
AP,2020,December,14222,882286,18684,871916,1767712,11825566,116,7108,0,0,0,0
AP,2021,January,5550,887836,7489,879405,1312306,13137872,45,7153,187252,187252,0,0
AP,2021,February,2080,889916,2624,882029,816259,13954131,16,7169,342355,529607,139337,139337
AP,2021,March,12073,901989,5405,887434,1129048,15083179,48,7217,1682209,2211816,254016,393353
AP,2021,April,199701,1101690,83284,970718,1307181,16390360,775,7992,2900737,5112553,1073911,1467264
AP,2021,May,591395,1693085,557642,1528360,2865944,19256304,2938,10930,2238415,7350968,1045115,2512379
AP,2021,June,196428,1889513,310109,1838469,2737314,21993618,1776,12706,5237401,12588369,603822,3116201
AP,2021,July,76662,1966175,93149,1931618,2569425,24563043,671,13377,3697974,16286343,2458155,5574356
AP,2021,August,47941,2014116,53948,1985566,2066271,26629314,480,13857,5698762,21985105,3019979,8594335
AP,2021,September,36208,2050324,39079,2024645,1664390,28293704,319,14176,5405420,27390525,5111998,13706333
AP,2021,October,16126,2066450,23077,2047722,1225083,29518787,197,14373,5586444,32976969,6668848,20375181
AR,2020,April,1,1,1,1,694,694,0,0,0,0,0,0
AR,2020,May,3,4,0,1,7589,8283,0,0,0,0,0,0
AR,2020,June,187,191,61,62,15954,24237,1,1,0,0,0,0
AR,2020,July,1400,1591,856,918,57628,81865,2,3,0,0,0,0
AR,2020,August,2521,4112,1967,2885,85750,167615,4,7,0,0,0,0
AR,2020,September,5684,9796,4005,6890,80824,248439,9,16,0,0,0,0
AR,2020,October,5056,14852,6069,12959,70040,318479,21,37,0,0,0,0
AR,2020,November,1430,16282,2452,15411,40644,359123,17,54,0,0,0,0
AR,2020,December,437,16719,1153,16564,19028,378151,2,56,0,0,0,0
AR,2021,January,109,16828,195,16759,14060,392211,0,56,9651,9651,0,0
AR,2021,February,8,16836,21,16780,13593,405804,0,56,15728,25379,6741,6741
AR,2021,March,9,16845,5,16785,8159,413963,0,56,40572,65951,13197,19938
AR,2021,April,1574,18419,349,17134,39943,453906,3,59,121208,187159,34386,54324
AR,2021,May,8853,27272,6268,23402,131999,585905,56,115,68430,255589,24005,78329
AR,2021,June,8585,35857,9521,32923,179985,765890,57,172,253686,509275,6201,84530
AR,2021,July,12265,48122,11016,43939,173042,938932,57,229,162653,671928,90037,174567
AR,2021,August,4909,53031,7969,51908,120682,1059614,31,260,54511,726439,68335,242902
AR,2021,September,1595,54626,2023,53931,85905,1145519,16,276,29433,755872,174863,417765
AR,2021,October,529,55155,843,54774,39917,1185436,4,280,16003,771875,116721,534486
AS,2020,March,1,1,0,0,0,0,0,0,0,0,0,0
AS,2020,April,42,43,29,29,9520,9520,1,1,0,0,0,0
AS,2020,May,1297,1340,157,186,99577,109097,3,4,0,0,0,0
AS,2020,June,7068,8408,5462,5648,303117,412214,8,12,0,0,0,0
AS,2020,July,31862,40270,24710,30358,505181,917395,86,98,0,0,0,0
AS,2020,August,68771,109041,55101,85459,1345432,2262827,208,306,0,0,0,0
AS,2020,September,71770,180811,60156,145615,1260603,3523430,391,697,0,0,0,0
AS,2020,October,25540,206351,50436,196051,1134409,4657839,233,930,0,0,0,0
AS,2020,November,6425,212776,12342,208393,656350,5314189,51,981,0,0,0,0
AS,2020,December,3435,216211,3514,211907,683261,5997450,64,1045,0,0,0,0
AS,2021,January,930,217141,2271,214178,468476,6465926,37,1082,38106,38106,0,0
AS,2021,February,396,217537,652,214830,384278,6850204,10,1092,157800,195906,27675,27675
AS,2021,March,875,218412,615,215445,381195,7231399,13,1105,712801,908707,112592,140267
AS,2021,April,34711,253123,11198,226643,1373536,8604935,202,1307,1041410,1950117,394229,534496
AS,2021,May,158093,411216,128167,354810,2440767,11045702,2058,3365,1354028,3304145,298660,833156
AS,2021,June,97268,508484,122700,477510,3803089,14848791,1174,4539,2487969,5792114,397711,1230867
AS,2021,July,57714,566198,70106,547616,3782319,18631110,721,5260,2961283,8753397,699014,1929881
AS,2021,August,23228,589426,29249,576865,3043761,21674871,400,5660,5670404,14423801,1197727,3127608
AS,2021,September,12737,602163,15021,591886,1888496,23563367,213,5873,4046949,18470750,2424621,5552229
AS,2021,October,8482,610645,9088,600974,1148675,24712042,124,5997,1701713,20172463,2516566,8068795
BR,2020,March,21,21,0,0,0,0,1,1,0,0,0,0
BR,2020,April,404,425,84,84,22672,22672,1,2,0,0,0,0
BR,2020,May,3382,3807,1436,1520,53065,75737,21,23,0,0,0,0
BR,2020,June,6180,9987,6024,7544,145153,220890,45,68,0,0,0,0
BR,2020,July,41000,50987,26106,33650,327282,548172,230,298,0,0,0,0
BR,2020,August,85350,136337,85922,119572,2638989,3187161,396,694,0,0,0,0
BR,2020,September,46569,182906,50053,169625,4078989,7266150,210,904,0,0,0,0
BR,2020,October,33858,216764,38186,207811,3656873,10923023,186,1090,0,0,0,0
BR,2020,November,18852,235616,20987,228798,3741408,14664431,174,1264,0,0,0,0
BR,2020,December,17176,252792,17887,246685,3672291,18336722,133,1397,0,0,0,0
BR,2021,January,7927,260719,11333,258018,2684928,21021650,104,1501,148293,148293,0,0
BR,2021,February,1815,262534,2576,260594,1412394,22434044,40,1541,411865,560158,79212,79212
BR,2021,March,2993,265527,1777,262371,1267426,23701470,35,1576,1837967,2398125,356801,436013
BR,2021,April,204790,470317,99985,362356,2732420,26433890,984,2560,3484272,5882397,649824,1085837
BR,2021,May,236444,706761,323006,685362,3476706,29910596,2603,5163,2632065,8514462,705670,1791507
BR,2021,June,15153,721914,25207,710569,3295508,33206104,4425,9588,5169650,13684112,424038,2215545
BR,2021,July,2921,724835,4166,714735,4145691,37351795,55,9643,6979997,20664109,1677754,3893299
BR,2021,August,873,725708,1220,715955,4493302,41845097,10,9653,11076790,31740899,2384976,6278275
BR,2021,September,250,725958,288,716243,4370082,46215179,8,9661,11808552,43549451,4524787,10803062
BR,2021,October,140,726098,147,716390,4316645,50531824,0,9661,6325377,49874828,7543719,18346781
CH,2020,March,15,15,0,0,0,0,0,0,0,0,0,0
CH,2020,April,59,74,18,18,1147,1147,0,0,0,0,0,0
CH,2020,May,219,293,181,199,3638,4785,4,4,0,0,0,0
CH,2020,June,147,440,165,364,2904,7689,2,6,0,0,0,0
CH,2020,July,611,1051,303,667,6270,13959,9,15,0,0,0,0
CH,2020,August,3295,4346,1764,2431,16418,30377,41,56,0,0,0,0
CH,2020,September,7592,11938,7382,9813,47112,77489,106,162,0,0,0,0
CH,2020,October,2480,14418,3738,13551,29526,107015,64,226,0,0,0,0
CH,2020,November,2991,17409,2519,16070,35311,142326,51,277,0,0,0,0
CH,2020,December,2339,19748,2975,19045,38860,181186,40,317,0,0,0,0
CH,2021,January,1177,20925,1381,20426,35060,216246,17,334,3447,3447,0,0
CH,2021,February,845,21770,611,21037,38187,254433,18,352,17443,20890,1712,1712
CH,2021,March,5229,26999,2665,23702,57472,311905,27,379,45140,66030,9839,11551
CH,2021,April,15648,42647,11561,35263,92710,404615,99,478,94041,160071,36867,48418
CH,2021,May,17399,60046,22263,57526,103854,508469,275,753,114351,274422,26483,74901
CH,2021,June,1624,61670,3182,60708,58703,567172,55,808,164879,439301,12675,87576
CH,2021,July,283,61953,403,61111,46719,613891,3,811,203527,642828,107802,195378
CH,2021,August,3152,65105,3141,64252,57984,671875,2,813,164238,807066,113011,308389
CH,2021,September,125,65230,118,64370,61730,733943,6,819,93919,900985,140670,449059
CH,2021,October,121,65351,125,64495,59246,792851,1,820,25050,926035,97922,546981
CT,2020,March,9,9,2,2,0,0,0,0,0,0,0,0
CT,2020,April,31,40,34,36,17541,17541,0,0,0,0,0,0
CT,2020,May,458,498,78,114,51611,69152,1,1,0,0,0,0
CT,2020,June,2360,2858,2136,2250,91498,160650,12,13,0,0,0,0
CT,2020,July,6334,9192,3980,6230,155477,316127,41,54,0,0,0,0
CT,2020,August,22311,31503,10759,16989,266413,582540,223,277,0,0,0,0
CT,2020,September,82099,113602,64729,81718,524072,1106612,680,957,0,0,0,0
CT,2020,October,73668,187270,81361,163079,702834,1809446,1144,2101,0,0,0,0
CT,2020,November,50052,237322,51747,214826,754160,2563606,760,2861,0,0,0,0
CT,2020,December,42253,279575,49943,264769,951101,3514707,510,3371,0,0,0,0
CT,2021,January,25792,305367,32570,297339,705597,4220304,330,3701,72704,72704,0,0
CT,2021,February,7193,312560,8612,305951,591969,4812273,134,3835,305130,377834,51791,51791
CT,2021,March,36627,349187,13537,319488,945535,5757808,335,4170,1247092,1624926,265388,317179
CT,2021,April,379513,728700,281673,601161,1448692,7206500,4411,8581,3228173,4853099,400821,718000
CT,2021,May,242763,971463,321513,922674,1918743,9125243,4467,13048,1039090,5892189,387870,1105870
CT,2021,June,23017,994480,52403,975077,1224994,10350237,391,13439,2034231,7926420,494807,1600677
CT,2021,July,7528,1002008,11544,986621,1043996,11394233,85,13524,1708527,9634947,745641,2346318
CT,2021,August,2443,1004451,3863,990484,991494,12385727,31,13555,1115721,10750668,913820,3260138
CT,2021,September,906,1005357,1007,991491,739174,13124901,11,13566,2333762,13084430,2018962,5279100
CT,2021,October,695,1006052,668,992159,584609,13709510,11,13577,1767252,14851682,2064173,7343273
DL,2020,March,120,120,6,6,0,0,2,2,0,0,0,0
DL,2020,April,3395,3515,1088,1094,47225,47225,57,59,0,0,0,0
DL,2020,May,16329,19844,7384,8478,165559,212784,414,473,0,0,0,0
DL,2020,June,67516,87360,49870,58348,318968,531752,2269,2742,0,0,0,0
DL,2020,July,48238,135598,62582,120930,501033,1032785,1221,3963,0,0,0,0
DL,2020,August,39150,174748,34748,155678,550700,1583485,481,4444,0,0,0,0
DL,2020,September,104967,279715,91768,247446,1496480,3079965,917,5361,0,0,0,0
DL,2020,October,106991,386706,100030,347476,1600730,4680695,1150,6511,0,0,0,0
DL,2020,November,183668,570374,180839,528315,1607370,6288065,2663,9174,0,0,0,0
DL,2020,December,54995,625369,81007,609322,2371765,8659830,1362,10536,0,0,0,0
DL,2021,January,9727,635096,13560,622882,2081596,10741426,317,10853,56818,56818,0,0
DL,2021,February,4193,639289,4162,627044,1639273,12380699,57,10910,316088,372906,37053,37053
DL,2021,March,23141,662430,15521,642565,2194963,14575662,117,11027,641293,1014199,214400,251453
DL,2021,April,486903,1149333,391260,1033825,2576123,17151785,5120,16147,1567597,2581796,438879,690332
DL,2021,May,276907,1426240,357138,1390963,2150495,19302280,8090,24237,1603276,4185072,534002,1224334
DL,2021,June,7948,1434188,16869,1407832,2180824,21483104,740,24977,1903809,6088881,580321,1804655
DL,2021,July,2077,1436265,2799,1410631,2183133,23666237,76,25053,1337691,7426572,862602,2667257
DL,2021,August,1499,1437764,1702,1412333,2012565,25678802,29,25082,2230866,9657438,1193880,3861137
DL,2021,September,1104,1438868,1048,1413381,1990057,27668859,5,25087,2411294,12068732,1949439,5810576
DL,2021,October,1002,1439870,1050,1414431,1758894,29427753,4,25091,986904,13055636,1614828,7425404
DN,2020,April,0,0,0,0,3464,3464,0,0,0,0,0,0
DN,2020,May,2,2,1,1,8013,11477,0,0,0,0,0,0
DN,2020,June,211,213,81,82,20554,32031,0,0,0,0,0,0
DN,2020,July,936,1149,643,725,10372,42403,2,2,0,0,0,0
DN,2020,August,1218,2367,1356,2081,11791,54194,0,2,0,0,0,0
DN,2020,September,673,3040,821,2902,11759,65953,0,2,0,0,0,0
DN,2020,October,209,3249,279,3181,6457,72410,0,2,0,0,0,0
DN,2020,November,78,3327,96,3277,0,72410,0,2,0,0,0,0
DN,2020,December,37,3364,43,3320,0,72410,0,2,0,0,0,0
DN,2021,January,16,3380,22,3342,0,72410,0,2,1083,1083,0,0
DN,2021,February,8,3388,11,3353,0,72410,0,2,6640,7723,719,719
DN,2021,March,240,3628,80,3433,0,72410,0,2,15896,23619,3728,4447
DN,2021,April,4033,7661,2113,5546,0,72410,2,4,55739,79358,11691,16138
DN,2021,May,2619,10280,4400,9946,0,72410,0,4,90697,170055,9836,25974
DN,2021,June,283,10563,538,10484,0,72410,0,4,217027,387082,14260,40234
DN,2021,July,90,10653,105,10589,0,72410,0,4,169543,556625,34583,74817
DN,2021,August,13,10666,38,10627,0,72410,0,4,60556,617181,66332,141149
DN,2021,September,7,10673,11,10638,0,72410,0,4,28638,645819,135342,276491
DN,2021,October,8,10681,6,10644,0,72410,0,4,14934,660753,93764,370255
GA,2020,March,5,5,0,0,0,0,0,0,0,0,0,0
GA,2020,April,2,7,7,7,2031,2031,0,0,0,0,0,0
GA,2020,May,64,71,37,44,17460,19491,0,0,0,0,0,0
GA,2020,June,1244,1315,552,596,47000,66491,3,3,0,0,0,0
GA,2020,July,4598,5913,3615,4211,64827,131318,42,45,0,0,0,0
GA,2020,August,11505,17418,9366,13577,67906,199224,147,192,0,0,0,0
GA,2020,September,16000,33418,14548,28125,55577,254801,236,428,0,0,0,0
GA,2020,October,10208,43626,12553,40678,45747,300548,176,604,0,0,0,0
GA,2020,November,4337,47963,5262,45940,48323,348871,84,688,0,0,0,0
GA,2020,December,3103,51066,3448,49388,50335,399206,51,739,0,0,0,0
GA,2021,January,2343,53409,2503,51891,51470,450676,29,768,4117,4117,0,0
GA,2021,February,1577,54986,1694,53585,42691,493367,27,795,14605,18722,2072,2072
GA,2021,March,3053,58039,2068,55653,51285,544652,35,830,78598,97320,16358,18430
GA,2021,April,33013,91052,11286,66939,108164,652816,338,1168,179805,277125,54163,72593
GA,2021,May,64614,155666,73315,140254,170121,822937,1481,2649,156709,433834,22507,95100
GA,2021,June,11023,166689,21107,161361,99323,922260,405,3054,383780,817614,21466,116566
GA,2021,July,4457,171146,5580,166941,133924,1056184,93,3147,240409,1058023,156036,272602
GA,2021,August,2809,173955,2936,169877,152633,1208817,54,3201,108184,1166207,147757,420359
GA,2021,September,2476,176431,2384,172261,144672,1353489,113,3314,59575,1225782,278541,698900
GA,2021,October,1677,178108,2131,174392,114910,1468399,50,3364,36786,1262568,212214,911114
GJ,2020,March,74,74,5,5,0,0,6,6,0,0,0,0
GJ,2020,April,4321,4395,608,613,64007,64007,208,214,0,0,0,0
GJ,2020,May,12399,16794,9306,9919,147923,211930,824,1038,0,0,0,0
GJ,2020,June,15849,32643,13751,23670,161683,373613,810,1848,0,0,0,0
GJ,2020,July,28795,61438,21237,44907,391164,764777,593,2441,0,0,0,0
GJ,2020,August,34997,96435,32975,77882,1567059,2331836,581,3022,0,0,0,0
GJ,2020,September,40959,137394,39449,117331,2086192,4418028,431,3453,0,0,0,0
GJ,2020,October,35550,172944,38888,156219,1635819,6053847,266,3719,0,0,0,0
GJ,2020,November,36836,209780,34702,190921,1771768,7825615,270,3989,0,0,0,0
GJ,2020,December,35258,245038,40072,230993,1827165,9652780,317,4306,0,0,0,0
GJ,2021,January,16502,261540,22810,253803,1160891,10813671,81,4387,247891,247891,0,0
GJ,2021,February,8349,269889,9313,263116,926175,11739846,23,4410,585831,833722,167448,167448
GJ,2021,March,37809,307698,27453,290569,1757331,13497177,109,4519,4190690,5024412,508314,675762
GJ,2021,April,260079,567777,127979,418548,4542779,18039956,2664,7183,4941486,9965898,1816848,2492610
GJ,2021,May,241392,809169,348443,766991,3719258,21759214,2650,9833,2992940,12958838,1652339,4144949
GJ,2021,June,14354,823523,43460,810451,1931086,23690300,226,10059,7112148,20070986,1476287,5621236
GJ,2021,July,1354,824877,4098,814549,1864591,25554891,17,10076,5379920,25450906,2320886,7942122
GJ,2021,August,545,825422,642,815191,1881584,27436475,5,10081,9245930,34696836,3745492,11687614
GJ,2021,September,514,825936,505,815696,1896797,29333272,1,10082,7325474,42022310,7315475,19003089
GJ,2021,October,641,826577,587,816283,1594791,30928063,7,10089,2712907,44735217,6969298,25972387
HP,2020,March,3,3,1,1,0,0,1,1,0,0,0,0
HP,2020,April,37,40,27,28,6133,6133,1,2,0,0,0,0
HP,2020,May,291,331,88,116,31035,37168,4,6,0,0,0,0
HP,2020,June,622,953,459,575,42331,79499,3,9,0,0,0,0
HP,2020,July,1611,2564,884,1459,65655,145154,4,13,0,0,0,0
HP,2020,August,3552,6116,3014,4473,69028,214182,24,37,0,0,0,0
HP,2020,September,8860,14976,6897,11370,81725,295907,144,181,0,0,0,0
HP,2020,October,7083,22059,7468,18838,97595,393502,131,312,0,0,0,0
HP,2020,November,18459,40518,12710,31548,135853,529355,323,635,0,0,0,0
HP,2020,December,14759,55277,20144,51692,242666,772021,287,922,0,0,0,0
HP,2021,January,2259,57536,4471,56163,159379,931400,45,967,27734,27734,0,0
HP,2021,February,1109,58645,1169,57332,163309,1094709,15,982,73770,101504,20924,71322
HP,2021,March,4960,63605,2249,59581,165803,1260512,53,1035,338273,439777,71352,92276
HP,2021,April,35682,99287,19729,79310,249056,1509568,449,1484,1101494,1541271,159855,252131
HP,2021,May,91043,190330,94250,173560,412643,1922211,1643,3127,481235,2022506,181490,433621
HP,2021,June,11793,202123,23446,197006,515943,2438154,336,3463,1328995,3351501,81165,514786
HP,2021,July,3904,206027,4264,201270,396277,2834431,42,3505,617119,3968620,758738,1273524
HP,2021,August,7521,213548,7035,208305,362615,3197046,77,3582,1524318,5492938,475594,1749118
HP,2021,September,5513,219061,5385,213690,273446,3470492,78,3660,168841,5661779,981989,2731107
HP,2021,October,5045,224106,4720,218410,214519,3685011,78,3738,51916,5713695,712716,3443823
